Zeile;Spalte;Farbstoff;Form;Menge
1;1;Hämatoxylin;;
1;2;Hämatoxylin;;
1;3;Kernechtrot;;
1;4;Lichtgrün SF;;
1;5;Resorcin;;
1;6;Eosin G;;
2;1;Anilinblau WS;;
2;1;Wolframphosphorsäure;;
2;2;Thiazinrot;;
2;2;Säurefuchsin;;
2;2;Säurefuchsin;;
2;2;Ponceau S;;
2;3;Bromthymolblau;;
2;3;Kernechtrot;;
2;3;Kernechtrot;;
2;3;Trypanblau;;
2;3;Toluidinblau;;
2;4;Thiazinrot;;
2;4;Thiazinrot;;
2;4;Kristallviolett;;
2;5;Chromo 2R;;
2;5;Thiazinrot;;
2;5;Xylen cyanol FF;;
2;6;Toluidinblau;;
2;6;Sulforhodaminblau;;
2;6;Dextranblau;;
3;1;Parafuchsin;;
3;1;Xylen cyanol FF;;
3;2;Fuchsin NB;;
3;2;Orange G;;
3;2;Kresylechtviolett;;
3;2;Kernechtrot;;
3;3;Sudan III;;
3;3;Orange G;;
3;3;Methylenblau;;
3;4;Safranin O;;
3;4;Ponceau de xylidine;;
3;4;Methylviolett;;
3;5;Ponceau de xylidine;;
3;5;Safranin O;;
3;6;Rhodamin B;;
3;6;Siriusrot;;
4;1;Alcianblau;;
4;1;Fast Green FCF;;
4;2;Coomassie violett R200;;
4;2;Safranin O;;
4;2;Kernechtrot;;
4;2;Kresylechtviolett;;
4;3;Kongorot;;
4;3;Cobalt-Hexahydrat;;
4;3;Cobalt-Acetat;;
4;4;Ponceau de xylidine;;
4;4;Pyronin G;;
4;4;Neutralrot;;
4;5;Chromo 2R;;
4;5;Ponceau de xylidine;;
4;5;Rutheniumrot;;
4;5;5-(4-Dimethylamino-benzyliden)-rhodanin;;
4;6;Chromo 2R;;
5;1;Coomassie Brillantblau;;
5;2;Anilinblau;;
5;2;Anilinblau;;
5;3;Azokarmin G;;
5;3;Kongorot;;
5;3;Alcianblau;;
5;4;Kresylechtviolett;;
5;5;Kongorot;;
5;6;Neutralrot;;
